country,totalCases,date
Czechia,2450000,2021/12/27
Czechia,2450000,2021/12/28
Czechia,2440000,2021/12/25
Czechia,2410000,2021/12/20
Czechia,2410000,2021/12/21
Czechia,2410000,2021/12/22
Czechia,2410000,2021/12/23
Czechia,2410000,2021/12/24
Czechia,2400000,2021/12/18
Czechia,2400000,2021/12/19
Czechia,2390000,2021/12/17
Czechia,2380000,2021/12/16
Czechia,2370000,2021/12/15
Peru,2280000,2021/12/25
Peru,2280000,2021/12/26
Peru,2280000,2021/12/27
Peru,2280000,2021/12/28
Peru,2280000,2021/12/29
Peru,2270000,2021/12/19
Peru,2270000,2021/12/20
Peru,2270000,2021/12/21
Peru,2270000,2021/12/22
Peru,2270000,2021/12/23
Peru,2270000,2021/12/24
Peru,2260000,2021/12/15
Peru,2260000,2021/12/16
Peru,2260000,2021/12/17
Peru,2260000,2021/12/18
Thailand,2220000,2021/12/29
Thailand,2210000,2021/12/25
Thailand,2210000,2021/12/26
Thailand,2210000,2021/12/27
Thailand,2210000,2021/12/28
Thailand,2200000,2021/12/21
Thailand,2200000,2021/12/22
Thailand,2200000,2021/12/23
Thailand,2200000,2021/12/24
Thailand,2190000,2021/12/16
Thailand,2190000,2021/12/17
Thailand,2190000,2021/12/18
Thailand,2190000,2021/12/19
Thailand,2190000,2021/12/20
Thailand,2180000,2021/12/15
Canada,2120000,2021/12/29
Iraq,2090000,2021/12/15
Iraq,2090000,2021/12/16
Iraq,2090000,2021/12/17
Iraq,2090000,2021/12/18
Iraq,2090000,2021/12/19
Iraq,2090000,2021/12/20
Iraq,2090000,2021/12/21
Iraq,2090000,2021/12/22
Iraq,2090000,2021/12/23
Iraq,2090000,2021/12/24
Iraq,2090000,2021/12/25
Iraq,2090000,2021/12/26
Iraq,2090000,2021/12/27
Iraq,2090000,2021/12/28
Iraq,2090000,2021/12/29
Belgium,2080000,2021/12/29
Belgium,2060000,2021/12/28
Belgium,2050000,2021/12/27
Belgium,2040000,2021/12/24
Belgium,2040000,2021/12/25
Belgium,2040000,2021/12/26
Canada,2040000,2021/12/28
Belgium,2030000,2021/12/23
Belgium,2020000,2021/12/20
Belgium,2020000,2021/12/21
Belgium,2020000,2021/12/22
Canada,2020000,2021/12/27
Belgium,2000000,2021/12/18
Belgium,2000000,2021/12/19
Canada,2000000,2021/12/26
Belgium,1990000,2021/12/17
Canada,1990000,2021/12/25
Belgium,1980000,2021/12/15
Belgium,1980000,2021/12/16
Canada,1980000,2021/12/24
Canada,1960000,2021/12/23
Canada,1940000,2021/12/22
Canada,1920000,2021/12/21
Canada,1910000,2021/12/20
Canada,1890000,2021/12/19
Canada,1880000,2021/12/17
Canada,1880000,2021/12/18
Canada,1870000,2021/12/16
Canada,1860000,2021/12/15
Romania,1810000,2021/12/29
Romania,1800000,2021/12/15
Romania,1800000,2021/12/16
Romania,1800000,2021/12/17
Romania,1800000,2021/12/18
Romania,1800000,2021/12/19
Romania,1800000,2021/12/20
Romania,1800000,2021/12/21
Romania,1800000,2021/12/22
Chile,1800000,2021/12/23
Romania,1800000,2021/12/23
Chile,1800000,2021/12/24
Romania,1800000,2021/12/24
Chile,1800000,2021/12/25
Romania,1800000,2021/12/25
Chile,1800000,2021/12/26
Romania,1800000,2021/12/26
Chile,1800000,2021/12/27
Romania,1800000,2021/12/27
Chile,1800000,2021/12/28
Romania,1800000,2021/12/28
Chile,1800000,2021/12/29
Chile,1790000,2021/12/15
Chile,1790000,2021/12/16
Chile,1790000,2021/12/17
Chile,1790000,2021/12/18
Chile,1790000,2021/12/19
Chile,1790000,2021/12/20
Chile,1790000,2021/12/21
Chile,1790000,2021/12/22
Japan,1730000,2021/12/15
Japan,1730000,2021/12/16
Japan,1730000,2021/12/17
Japan,1730000,2021/12/18
Japan,1730000,2021/12/19
Japan,1730000,2021/12/20
Japan,1730000,2021/12/21
Japan,1730000,2021/12/22
Japan,1730000,2021/12/23
Japan,1730000,2021/12/24
Japan,1730000,2021/12/25
Japan,1730000,2021/12/26
Japan,1730000,2021/12/27
Japan,1730000,2021/12/28
Japan,1730000,2021/12/29
Vietnam,1690000,2021/12/29
Vietnam,1680000,2021/12/28
Vietnam,1670000,2021/12/27
Vietnam,1650000,2021/12/26
Vietnam,1640000,2021/12/25
Vietnam,1620000,2021/12/24
Vietnam,1600000,2021/12/23
Vietnam,1590000,2021/12/22
Bangladesh,1580000,2021/12/15
Bangladesh,1580000,2021/12/16
Bangladesh,1580000,2021/12/17
Bangladesh,1580000,2021/12/18
Bangladesh,1580000,2021/12/19
Bangladesh,1580000,2021/12/20
Bangladesh,1580000,2021/12/21
Bangladesh,1580000,2021/12/22
Bangladesh,1580000,2021/12/23
Bangladesh,1580000,2021/12/24
Bangladesh,1580000,2021/12/25
Bangladesh,1580000,2021/12/26
Bangladesh,1580000,2021/12/27
Bangladesh,1580000,2021/12/28
Bangladesh,1580000,2021/12/29
Vietnam,1570000,2021/12/21
Vietnam,1560000,2021/12/20
Vietnam,1540000,2021/12/19
Low income,1530000,2021/12/29
Vietnam,1520000,2021/12/18
Vietnam,1510000,2021/12/17
Low income,1510000,2021/12/28
Low income,1500000,2021/12/27
Vietnam,1490000,2021/12/16
Low income,1490000,2021/12/26
Low income,1480000,2021/12/25
Low income,1470000,2021/12/24
Vietnam,1460000,2021/12/15
Low income,1460000,2021/12/23
Low income,1440000,2021/12/22
Low income,1430000,2021/12/20
Low income,1430000,2021/12/21
Low income,1420000,2021/12/18
Low income,1420000,2021/12/19
Low income,1410000,2021/12/16
Low income,1410000,2021/12/17
Low income,1400000,2021/12/15
Israel,1370000,2021/12/27
Israel,1370000,2021/12/28
Israel,1370000,2021/12/29
Israel,1360000,2021/12/19
Israel,1360000,2021/12/20
Israel,1360000,2021/12/21
Israel,1360000,2021/12/22
Israel,1360000,2021/12/23
Israel,1360000,2021/12/24
Israel,1360000,2021/12/25
Israel,1360000,2021/12/26
Slovakia,1360000,2021/12/28
Slovakia,1360000,2021/12/29
Israel,1350000,2021/12/15
Israel,1350000,2021/12/16
Israel,1350000,2021/12/17
Israel,1350000,2021/12/18
Slovakia,1350000,2021/12/24
Slovakia,1350000,2021/12/25
Slovakia,1350000,2021/12/26
Slovakia,1350000,2021/12/27
Slovakia,1340000,2021/12/23
Slovakia,1330000,2021/12/19
Slovakia,1330000,2021/12/20
Slovakia,1330000,2021/12/21
Slovakia,1330000,2021/12/22
Portugal,1330000,2021/12/29
Slovakia,1320000,2021/12/17
Slovakia,1320000,2021/12/18
Slovakia,1310000,2021/12/16
Slovakia,1300000,2021/12/15
Portugal,1300000,2021/12/28
Serbia,1300000,2021/12/29
Sweden,1300000,2021/12/29
Pakistan,1290000,2021/12/15
Pakistan,1290000,2021/12/16
Pakistan,1290000,2021/12/17
Pakistan,1290000,2021/12/18
Pakistan,1290000,2021/12/19
Pakistan,1290000,2021/12/20
Pakistan,1290000,2021/12/21
Pakistan,1290000,2021/12/22
Serbia,1290000,2021/12/22
Pakistan,1290000,2021/12/23
Serbia,1290000,2021/12/23
Pakistan,1290000,2021/12/24
Serbia,1290000,2021/12/24
Pakistan,1290000,2021/12/25
Serbia,1290000,2021/12/25
Pakistan,1290000,2021/12/26
Serbia,1290000,2021/12/26
Pakistan,1290000,2021/12/27
Portugal,1290000,2021/12/27
Serbia,1290000,2021/12/27
Pakistan,1290000,2021/12/28
Serbia,1290000,2021/12/28
Sweden,1290000,2021/12/28
Pakistan,1290000,2021/12/29
Switzerland,1290000,2021/12/29
Serbia,1280000,2021/12/15
Serbia,1280000,2021/12/16
Serbia,1280000,2021/12/17
Serbia,1280000,2021/12/18
Serbia,1280000,2021/12/19
Serbia,1280000,2021/12/20
Serbia,1280000,2021/12/21
Portugal,1280000,2021/12/25
Portugal,1280000,2021/12/26
Switzerland,1280000,2021/12/28
Sweden,1270000,2021/12/22
Sweden,1270000,2021/12/23
Portugal,1270000,2021/12/24
Sweden,1270000,2021/12/24
Sweden,1270000,2021/12/25
Sweden,1270000,2021/12/26
Austria,1270000,2021/12/27
Sweden,1270000,2021/12/27
Austria,1270000,2021/12/28
Austria,1270000,2021/12/29
Sweden,1260000,2021/12/21
Austria,1260000,2021/12/22
Austria,1260000,2021/12/23
Austria,1260000,2021/12/24
Austria,1260000,2021/12/25
Austria,1260000,2021/12/26
Switzerland,1260000,2021/12/27
Sweden,1250000,2021/12/16
Austria,1250000,2021/12/17
Sweden,1250000,2021/12/17
Austria,1250000,2021/12/18
Sweden,1250000,2021/12/18
Austria,1250000,2021/12/19
Sweden,1250000,2021/12/19
Austria,1250000,2021/12/20
Sweden,1250000,2021/12/20
Austria,1250000,2021/12/21
Portugal,1250000,2021/12/23
Hungary,1250000,2021/12/27
Hungary,1250000,2021/12/28
Hungary,1250000,2021/12/29
Austria,1240000,2021/12/15
Sweden,1240000,2021/12/15
Austria,1240000,2021/12/16
Portugal,1240000,2021/12/22
Hungary,1240000,2021/12/23
Hungary,1240000,2021/12/24
Hungary,1240000,2021/12/25
Hungary,1240000,2021/12/26
Portugal,1230000,2021/12/19
Hungary,1230000,2021/12/20
Portugal,1230000,2021/12/20
Hungary,1230000,2021/12/21
Portugal,1230000,2021/12/21
Hungary,1230000,2021/12/22
Switzerland,1230000,2021/12/23
Switzerland,1230000,2021/12/24
Switzerland,1230000,2021/12/25
Switzerland,1230000,2021/12/26
Hungary,1220000,2021/12/17
Portugal,1220000,2021/12/17
Hungary,1220000,2021/12/18
Portugal,1220000,2021/12/18
Hungary,1220000,2021/12/19
Switzerland,1220000,2021/12/22
Hungary,1210000,2021/12/15
Portugal,1210000,2021/12/15
Hungary,1210000,2021/12/16
Portugal,1210000,2021/12/16
Switzerland,1200000,2021/12/20
Switzerland,1200000,2021/12/21
Switzerland,1180000,2021/12/17
Switzerland,1180000,2021/12/18
Switzerland,1180000,2021/12/19
Switzerland,1170000,2021/12/16
Switzerland,1150000,2021/12/15
Greece,1130000,2021/12/29
Greece,1110000,2021/12/28
Greece,1080000,2021/12/27
Kazakhstan,1070000,2021/12/16
Kazakhstan,1070000,2021/12/17
Kazakhstan,1070000,2021/12/18
Kazakhstan,1070000,2021/12/19
Kazakhstan,1070000,2021/12/20
Kazakhstan,1070000,2021/12/21
Kazakhstan,1070000,2021/12/22
Kazakhstan,1070000,2021/12/23
Kazakhstan,1070000,2021/12/24
Greece,1070000,2021/12/25
Kazakhstan,1070000,2021/12/25
Greece,1070000,2021/12/26
Kazakhstan,1070000,2021/12/26
Kazakhstan,1070000,2021/12/27
Kazakhstan,1070000,2021/12/28
Kazakhstan,1070000,2021/12/29
Kazakhstan,1060000,2021/12/15
Greece,1060000,2021/12/23
Greece,1060000,2021/12/24
Greece,1050000,2021/12/22
Jordan,1050000,2021/12/22
Jordan,1050000,2021/12/23
Jordan,1050000,2021/12/24
Jordan,1050000,2021/12/25
Jordan,1050000,2021/12/26
Jordan,1050000,2021/12/27
Jordan,1050000,2021/12/28
Jordan,1050000,2021/12/29
Jordan,1040000,2021/12/19
Greece,1040000,2021/12/20
Jordan,1040000,2021/12/20
Greece,1040000,2021/12/21
Jordan,1040000,2021/12/21
Jordan,1030000,2021/12/16
Greece,1030000,2021/12/17
Jordan,1030000,2021/12/17
Greece,1030000,2021/12/18
Jordan,1030000,2021/12/18
Greece,1030000,2021/12/19
Greece,1020000,2021/12/15
Jordan,1020000,2021/12/15
Greece,1020000,2021/12/16
Cuba,965243,2021/12/29
Cuba,965002,2021/12/28
Cuba,964857,2021/12/27
Cuba,964729,2021/12/26
Cuba,964607,2021/12/25
Cuba,964482,2021/12/24
Cuba,964406,2021/12/23
Cuba,964317,2021/12/22
Cuba,964237,2021/12/21
Cuba,964176,2021/12/20
Cuba,964097,2021/12/19
Cuba,964035,2021/12/18
Cuba,963958,2021/12/17
Cuba,963885,2021/12/16
Cuba,963813,2021/12/15
Morocco,959098,2021/12/29
Morocco,957594,2021/12/28
Morocco,956410,2021/12/27
Morocco,956119,2021/12/26
Morocco,955587,2021/12/25
Morocco,954853,2021/12/24
Morocco,954199,2021/12/23
Morocco,953724,2021/12/22
Morocco,953297,2021/12/21
Morocco,952916,2021/12/20
Morocco,952814,2021/12/19
Morocco,952628,2021/12/18
Morocco,952398,2021/12/17
Morocco,952189,2021/12/16
Morocco,951984,2021/12/15
Georgia,930544,2021/12/29
Georgia,928030,2021/12/28
Georgia,925354,2021/12/27
Georgia,924368,2021/12/26
Georgia,922707,2021/12/25
Georgia,920617,2021/12/24
Georgia,918641,2021/12/23
Georgia,916477,2021/12/22
Georgia,913738,2021/12/21
Georgia,910456,2021/12/20
Georgia,909160,2021/12/19
Georgia,906965,2021/12/18
Georgia,904181,2021/12/17
Georgia,901202,2021/12/16
Georgia,898079,2021/12/15
Nepal,827972,2021/12/29
Nepal,827763,2021/12/28
Nepal,827522,2021/12/27
Nepal,827271,2021/12/26
Nepal,827058,2021/12/25
Nepal,826901,2021/12/24
Nepal,826664,2021/12/23
Nepal,826423,2021/12/22
Nepal,826206,2021/12/21
Nepal,825954,2021/12/20
Nepal,825736,2021/12/19
Nepal,825603,2021/12/18
Nepal,825445,2021/12/17
Nepal,825176,2021/12/16
Nepal,825016,2021/12/15
Denmark,762299,2021/12/29
United Arab Emirates,757145,2021/12/29
United Arab Emirates,754911,2021/12/28
United Arab Emirates,753065,2021/12/27
United Arab Emirates,751333,2021/12/26
United Arab Emirates,749530,2021/12/25
