country,newCases,date
Malaysia,4362,2021/12/17
Jordan,4341,2021/12/15
Greece,4337,2021/12/18
Norway,4312,2021/12/23
Colombia,4306,2021/12/28
Botswana,4293,2021/12/23
Norway,4290,2021/12/22
Portugal,4266,2021/12/19
Malaysia,4262,2021/12/16
Ireland,4230,2021/12/15
Croatia,4226,2021/12/22
Austria,4224,2021/12/15
Bolivia,4220,2021/12/21
South Korea,4207,2021/12/26
Argentina,4163,2021/12/18
Oceania,4147,2021/12/17
Ireland,4141,2021/12/16
Croatia,4139,2021/12/28
Sweden,4130,2021/12/17
Oceania,4101,2021/12/19
Malaysia,4083,2021/12/18
Germany,4068,2021/12/24
Slovakia,4062,2021/12/19
Sweden,4044,2021/12/15
Norway,4041,2021/12/20
Greece,4036,2021/12/26
Australia,4031,2021/12/19
Sweden,4022,2021/12/16
Australia,4017,2021/12/17
Oceania,3921,2021/12/18
Oceania,3920,2021/12/16
Zambia,3907,2021/12/28
Malaysia,3900,2021/12/15
Ukraine,3889,2021/12/19
Australia,3862,2021/12/18
South Korea,3862,2021/12/27
Croatia,3831,2021/12/23
Jordan,3812,2021/12/16
Australia,3802,2021/12/16
Ethiopia,3793,2021/12/23
Croatia,3778,2021/12/17
South Africa,3778,2021/12/27
Brazil,3774,2021/12/23
Croatia,3765,2021/12/16
Norway,3750,2021/12/27
Kenya,3749,2021/12/25
Kenya,3746,2021/12/23
Czechia,3741,2021/12/20
Brazil,3734,2021/12/21
Portugal,3732,2021/12/26
Jordan,3705,2021/12/17
Norway,3705,2021/12/18
Greece,3689,2021/12/20
Malaysia,3683,2021/12/29
Brazil,3680,2021/12/24
Brazil,3674,2021/12/25
Zambia,3672,2021/12/24
Brazil,3661,2021/12/16
Finland,3649,2021/12/27
Mozambique,3624,2021/12/29
Ireland,3595,2021/12/17
Hungary,3586,2021/12/23
Jordan,3578,2021/12/20
Peru,3559,2021/12/18
Low income,3543,2021/12/19
Oceania,3534,2021/12/15
Malaysia,3528,2021/12/24
Malaysia,3519,2021/12/22
Malaysia,3510,2021/12/23
Botswana,3488,2021/12/27
Croatia,3487,2021/12/18
Mozambique,3473,2021/12/28
Bulgaria,3449,2021/12/29
Israel,3446,2021/12/29
Low income,3438,2021/12/18
Australia,3423,2021/12/15
Colombia,3414,2021/12/25
Zimbabwe,3406,2021/12/20
Zambia,3380,2021/12/23
Thailand,3370,2021/12/15
Hungary,3359,2021/12/22
Kenya,3328,2021/12/22
Mexico,3319,2021/12/23
Kenya,3297,2021/12/29
Georgia,3282,2021/12/21
Colombia,3281,2021/12/27
Georgia,3278,2021/12/15
Croatia,3271,2021/12/25
Argentina,3254,2021/12/19
Austria,3251,2021/12/29
Croatia,3241,2021/12/24
Brazil,3226,2021/12/22
Finland,3223,2021/12/24
Jordan,3196,2021/12/19
Bolivia,3174,2021/12/18
Malaysia,3160,2021/12/25
Lebanon,3153,2021/12/29
Malaysia,3140,2021/12/21
Thailand,3132,2021/12/18
Georgia,3123,2021/12/16
Malaysia,3108,2021/12/19
Colombia,3060,2021/12/24
Austria,3046,2021/12/16
Israel,3046,2021/12/27
Jordan,3023,2021/12/21
Norway,3022,2021/12/19
Colombia,3022,2021/12/26
Hungary,3005,2021/12/29
Cyprus,3002,2021/12/29
Finland,3000,2021/12/23
Israel,2995,2021/12/28
Ethiopia,2992,2021/12/22
Ukraine,2988,2021/12/26
Mexico,2980,2021/12/22
Georgia,2979,2021/12/17
Kenya,2964,2021/12/24
Ethiopia,2946,2021/12/26
Thailand,2940,2021/12/23
Mexico,2916,2021/12/25
Austria,2899,2021/12/17
Thailand,2899,2021/12/19
Malaysia,2897,2021/12/28
Bolivia,2882,2021/12/28
Finland,2877,2021/12/22
Zambia,2857,2021/12/22
Democratic Republic of Congo,2850,2021/12/20
Kenya,2844,2021/12/21
Greece,2831,2021/12/19
Tanzania,2823,2021/12/29
Ukraine,2814,2021/12/20
Croatia,2803,2021/12/21
Georgia,2784,2021/12/18
Malaysia,2778,2021/12/26
Mozambique,2770,2021/12/24
Thailand,2766,2021/12/25
Democratic Republic of Congo,2761,2021/12/23
Malaysia,2757,2021/12/27
Portugal,2752,2021/12/20
Mexico,2750,2021/12/18
Georgia,2739,2021/12/22
Finland,2714,2021/12/28
Slovakia,2708,2021/12/22
